Name,Division
Arsenal,E0
Bournemouth,E0
Burnley,E0
Chelsea,E0
Crystal Palace,E0
Everton,E0
Hull,E0
Leicester,E0
Liverpool,E0
Man City,E0
Man United,E0
Middlesbrough,E0
Southampton,E0
Stoke,E0
Sunderland,E0
Swansea,E0
Tottenham,E0
Watford,E0
West Brom,E0
West Ham,E0
Aston Villa,E1
Barnsley,E1
Birmingham,E1
Blackburn,E1
Bolton,E1
Brentford,E1
Brighton,E1
Bristol City,E1
Burton,E1
Cardiff,E1
Charlton,E1
Derby,E1
Fulham,E1
Huddersfield,E1
Ipswich,E1
Leeds,E1
Milton Keynes Dons,E1
Newcastle,E1
Norwich,E1
Nott'm Forest,E1
Preston,E1
QPR,E1
Reading,E1
Rotherham,E1
Sheffield Weds,E1
Wigan,E1
Wolves,E1
